rentabilidad óptima,riesgo asociado,composicion de portafolio
0.1274,0.1559977964587962,"[0.0, 0.315, 0.0, 0.685]"
0.12730000000000002,0.15580645044413277,"[0.005, 0.31, 0.0, 0.685]"
0.1272,0.15561623469291372,"[0.01, 0.305, 0.0, 0.685]"
0.12720000000000004,0.15542715335487553,"[0.0, 0.32, 0.0, 0.68]"
0.12710000000000002,0.15523921057516363,"[0.005, 0.315, 0.0, 0.68]"
0.12700000000000003,0.15505241049400037,"[0.01, 0.31, 0.0, 0.68]"
0.127,0.15486675724635032,"[0.0, 0.325, 0.0, 0.675]"
0.1269,0.15468225496158244,"[0.005, 0.32, 0.0, 0.675]"
0.12680000000000002,0.15449890776312952,"[0.01, 0.315, 0.0, 0.675]"
0.1267,0.15431671976814437,"[0.015, 0.31, 0.0, 0.675]"
0.12680000000000002,0.15413569508715363,"[0.0, 0.33, 0.0, 0.67]"
